species,lon,lat,ROUGHN,ALTITUDE,APAN_MEAN_,PPTCV,FROST_DURT,HTUNT,MAX01,MIN07,MEAN_AN_PR,NDVI,RAIN_CONCE,SMDSUM,SMDWIN,FERT1,FERT2,FERT3,FERT4,TEXT1,TEXT2,TEXT3,TEXT4,PH1,PH2,PH3,fold.assignment,ID
1,23.4,-33.2,239.0,1087.0,2348.7,34.0,132.0,10.8,30.5,1.0,369.0,99.0,24.0,22.4,25.4,98.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,98.0,2.0,0,2,157
1,21.2,-33.3,329.0,1433.0,2064.2,33.5,144.0,1.8,26.9,1.3,389.0,67.0,15.0,17.2,47.8,97.0,0.0,0.0,3.0,3.0,0.0,97.0,0.0,97.0,3.0,0,2,187
1,21.2,-33.3,297.0,1570.0,2042.6,32.5,147.0,1.1,26.6,0.9,433.0,64.0,15.0,18.0,48.8,78.0,0.0,0.0,22.0,22.0,0.0,78.0,0.0,78.0,22.0,0,2,188
1,21.2,-33.3,411.0,1612.0,2068.2,34.5,146.0,0.8,26.4,0.7,344.0,68.0,15.0,16.6,44.3,48.0,0.0,0.0,52.0,52.0,0.0,48.0,0.0,48.0,52.0,0,2,189
1,22.2,-33.3,498.0,1457.0,2185.3,32.5,154.0,4.9,28.7,0.6,433.0,93.0,10.0,17.4,36.3,94.0,0.0,6.0,0.0,0.0,6.0,63.0,31.0,94.0,6.0,0,2,197
1,22.2,-33.3,416.0,1486.0,2185.3,33.1,149.0,4.2,28.4,0.4,407.0,109.0,11.0,16.8,35.8,81.0,0.0,15.0,4.0,0.0,19.0,48.0,34.0,81.0,19.0,0,2,198
1,22.1,-33.3,410.0,1773.0,2060.0,29.4,168.0,2.0,27.6,-0.4,571.0,128.0,7.0,22.5,40.2,98.0,0.0,2.0,0.0,0.0,2.0,59.0,39.0,98.0,2.0,0,2,217
1,22.2,-33.3,420.0,1634.0,2116.7,31.3,178.0,2.8,28.0,0.0,485.0,114.0,8.0,20.7,37.4,92.0,0.0,8.0,0.0,0.0,8.0,61.0,31.0,92.0,8.0,0,2,218
1,22.2,-33.3,235.0,1780.0,2068.7,29.7,155.0,1.9,27.5,-0.4,555.0,113.0,8.0,20.2,40.0,100.0,0.0,0.0,0.0,0.0,0.0,87.0,13.0,100.0,0.0,0,2,219
1,22.2,-33.3,366.0,1591.0,2134.1,31.4,166.0,3.4,28.2,0.0,482.0,105.0,8.0,19.6,37.7,86.0,0.0,14.0,0.0,0.0,14.0,71.0,15.0,86.0,14.0,0,2,220
1,22.2,-33.3,461.0,1766.0,2090.7,30.7,167.0,2.0,27.6,-0.4,512.0,111.0,9.0,20.9,39.0,85.0,0.0,15.0,0.0,0.0,15.0,75.0,9.0,85.0,15.0,0,2,221
1,22.2,-33.3,331.0,1485.0,2160.9,32.9,178.0,3.4,28.2,0.1,416.0,118.0,10.0,20.0,35.9,78.0,0.0,22.0,0.0,0.0,22.0,29.0,49.0,78.0,22.0,0,2,222
1,22.2,-33.3,394.0,1428.0,2215.0,34.5,173.0,4.9,28.7,0.6,347.0,121.0,10.0,18.6,33.6,87.0,0.0,13.0,0.0,0.0,13.0,24.0,63.0,87.0,13.0,0,2,223
1,22.1,-33.3,505.0,1727.0,1965.3,24.4,144.0,1.9,27.5,-0.5,792.0,127.0,6.0,24.1,47.7,93.0,0.0,7.0,0.0,0.0,7.0,15.0,77.0,93.0,7.0,0,2,246
1,22.2,-33.3,474.0,1459.0,2135.6,29.4,152.0,5.8,28.9,0.9,572.0,121.0,7.0,21.1,40.6,89.0,0.0,11.0,0.0,0.0,11.0,11.0,78.0,89.0,11.0,0,2,247
1,22.2,-33.3,600.0,1315.0,2143.8,28.9,158.0,6.8,29.2,1.2,592.0,117.0,7.0,21.8,41.5,91.0,0.0,9.0,0.0,0.0,9.0,6.0,84.0,91.0,9.0,0,2,248
1,22.2,-33.3,380.0,1842.0,1753.9,24.5,181.0,0.0,24.5,-2.2,785.0,119.0,8.0,23.7,48.7,91.0,0.0,9.0,0.0,0.0,9.0,41.0,50.0,91.0,9.0,0,2,249
1,22.2,-33.3,487.0,1697.0,2019.0,26.7,179.0,1.9,27.5,-0.4,690.0,114.0,8.0,22.9,45.5,88.0,0.0,12.0,0.0,0.0,12.0,53.0,36.0,88.0,12.0,0,2,250
1,22.3,-33.3,458.0,1752.0,2115.8,30.9,182.0,3.0,28.1,0.0,503.0,120.0,7.0,19.7,38.9,92.0,0.0,8.0,0.0,0.0,8.0,18.0,74.0,92.0,8.0,0,2,251
1,20.4,-33.3,234.0,1367.0,1935.7,31.7,144.0,0.4,25.6,1.5,469.0,59.0,40.0,15.6,50.7,35.0,0.0,0.0,65.0,47.0,18.0,35.0,0.0,35.0,65.0,0,2,256
1,20.5,-33.3,339.0,1260.0,1950.4,32.6,134.0,0.6,25.8,1.7,427.0,49.0,38.0,15.2,50.7,21.0,0.0,0.0,79.0,28.0,51.0,21.0,0.0,21.0,79.0,0,2,257
1,22.0,-33.3,583.0,1558.0,2089.2,30.1,166.0,2.8,28.0,-0.1,541.0,108.0,7.0,22.2,50.7,90.0,0.0,10.0,0.0,0.0,10.0,18.0,72.0,90.0,10.0,0,2,262
1,22.0,-33.3,521.0,1766.0,1995.5,26.7,165.0,1.9,27.5,-0.5,688.0,105.0,6.0,24.1,46.1,93.0,0.0,7.0,0.0,0.0,7.0,24.0,69.0,93.0,7.0,0,2,263
1,22.0,-33.3,316.0,1612.0,1898.1,23.3,163.0,1.8,27.5,-0.5,841.0,116.0,5.0,29.3,49.7,93.0,0.0,7.0,0.0,0.0,7.0,31.0,62.0,93.0,7.0,0,2,264
1,22.1,-33.3,396.0,1751.0,1699.4,22.8,170.0,0.0,24.9,-2.0,861.0,99.0,5.0,28.7,50.5,92.0,0.0,8.0,0.0,0.0,8.0,14.0,78.0,92.0,8.0,0,2,265
1,22.1,-33.3,420.0,1590.0,1934.6,23.3,159.0,2.7,27.9,-0.1,840.0,112.0,4.0,28.1,50.0,93.0,0.0,7.0,0.0,0.0,7.0,5.0,87.0,93.0,7.0,0,2,266
1,22.1,-33.3,601.0,1750.0,1949.9,23.6,157.0,2.7,27.9,-0.1,825.0,117.0,4.0,26.4,49.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,267
1,22.3,-33.3,442.0,1781.0,1773.5,25.0,184.0,0.0,24.9,-1.9,767.0,113.0,6.0,24.9,48.2,91.0,0.0,9.0,0.0,0.0,9.0,13.0,78.0,91.0,9.0,0,2,272
1,22.4,-33.3,558.0,1209.0,2271.2,36.5,154.0,7.2,29.2,1.5,256.0,101.0,6.0,17.5,29.8,53.0,0.0,0.0,47.0,0.0,47.0,36.0,16.0,53.0,47.0,0,2,273
1,22.0,-33.4,670.0,1459.0,2032.3,24.9,148.0,4.8,28.7,0.6,771.0,93.0,6.0,25.3,46.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,282
1,22.0,-33.4,695.0,1327.0,2058.1,25.7,145.0,6.4,29.1,1.1,736.0,112.0,4.0,25.5,46.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,283
1,22.0,-33.4,589.0,1136.0,2079.4,25.4,130.0,9.3,29.8,1.9,747.0,129.0,4.0,26.6,46.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,284
1,22.1,-33.4,574.0,1139.0,2071.1,25.2,128.0,9.5,29.8,1.9,758.0,141.0,3.0,27.2,47.3,88.0,0.0,12.0,0.0,0.0,12.0,0.0,88.0,88.0,12.0,0,2,285
1,22.1,-33.4,397.0,1016.0,2080.2,25.5,124.0,10.4,30.1,2.2,743.0,143.0,3.0,27.8,47.8,72.0,0.0,28.0,1.0,0.0,28.0,0.0,72.0,72.0,28.0,1,2,286
1,22.4,-33.4,496.0,1867.0,1829.6,28.4,187.0,0.0,24.9,-1.9,613.0,128.0,5.0,21.2,40.9,89.0,0.0,11.0,0.0,0.0,11.0,10.0,80.0,89.0,11.0,0,2,289
1,22.4,-33.4,491.0,1731.0,2035.6,29.4,164.0,1.4,27.2,-0.6,572.0,128.0,6.0,21.2,40.9,89.0,0.0,11.0,0.0,0.0,11.0,40.0,49.0,89.0,11.0,0,2,290
1,22.4,-33.4,593.0,1282.0,2199.8,33.1,154.0,6.2,29.0,1.2,405.0,100.0,7.0,17.7,34.8,86.0,0.0,2.0,12.0,0.0,12.0,40.0,49.0,86.0,14.0,0,2,291
1,22.4,-33.4,317.0,1067.0,2273.8,34.5,132.0,9.7,29.8,2.2,344.0,94.0,8.0,16.4,32.6,42.0,0.0,22.0,36.0,0.0,36.0,50.0,13.0,42.0,58.0,0,2,292
1,23.7,-33.4,280.0,1181.0,2194.0,31.4,132.0,7.1,29.2,1.2,481.0,94.0,23.0,24.8,27.7,92.0,0.0,0.0,8.0,0.0,8.0,52.0,40.0,92.0,8.0,0,2,294
1,21.4,-33.4,388.0,1681.0,2161.2,34.2,145.0,2.4,27.4,1.2,360.0,66.0,10.0,17.8,49.2,89.0,0.0,11.0,0.0,0.0,11.0,23.0,66.0,89.0,11.0,0,2,296
1,21.4,-33.4,522.0,1609.0,2156.0,34.1,131.0,2.4,27.4,1.2,362.0,74.0,10.0,17.9,49.2,90.0,0.0,10.0,0.0,0.0,10.0,30.0,60.0,90.0,10.0,0,2,297
1,22.0,-33.4,420.0,817.0,2207.4,27.4,104.0,15.3,31.0,3.3,657.0,134.0,5.0,23.3,42.8,38.0,0.0,15.0,47.0,37.0,25.0,0.0,38.0,38.0,52.0,10,2,308
1,22.0,-33.4,364.0,754.0,2227.1,28.2,96.0,16.8,31.3,3.7,624.0,159.0,4.0,23.2,42.3,19.0,0.0,36.0,44.0,1.0,80.0,0.0,19.0,19.0,37.0,43,2,309
1,22.3,-33.4,431.0,1378.0,2000.2,24.5,143.0,3.9,28.4,0.4,785.0,147.0,5.0,26.3,49.4,98.0,0.0,2.0,0.0,0.0,2.0,0.0,98.0,98.0,2.0,0,2,310
1,22.4,-33.4,410.0,1602.0,2089.4,30.3,164.0,2.7,27.9,0.0,531.0,122.0,6.0,20.2,39.3,88.0,0.0,12.0,0.0,0.0,12.0,46.0,42.0,88.0,12.0,0,2,311
1,22.4,-33.4,551.0,1578.0,2076.4,29.6,159.0,2.5,27.8,0.0,560.0,112.0,7.0,20.5,40.0,95.0,0.0,5.0,0.0,0.0,5.0,62.0,33.0,95.0,5.0,0,2,312
